time_stamp,x,y,z,qw,qx,qy,qz
1.75897e+09,2.98384e-05,0.00699336,-0.00174907,0.999997,0.00225062,0.000617792,0.000337837
1.75897e+09,0.00139978,-0.00017538,-0.00290157,1,0.000544519,0.000621141,0.000228707
1.75897e+09,0.000200479,-0.00162063,-0.00397788,0.999998,0.00175883,0.000686903,0.000364716
1.75897e+09,-0.000958569,-0.00271381,-0.0030243,0.999999,0.000909899,0.00135132,0.000374744
1.75897e+09,0.00215584,-0.000821625,-0.00223804,0.999999,0.00115778,0.000616613,0.000852564
1.75897e+09,0.00282148,-0.000628592,-0.00255409,0.999999,0.000643158,0.000672633,0.000572604
1.75897e+09,0.00255655,0.000115701,-0.00184357,0.999999,0.000963935,0.000698754,0.000688999
1.75897e+09,0.00251684,-0.000130305,-0.00202573,1,0.000661317,0.000435993,0.000508626
1.75897e+09,0.00354924,-3.22975e-05,-0.0024921,0.999999,0.000794988,0.000494166,0.000674579
1.75897e+09,0.0037726,-0.000797823,-0.00318151,1,0.000795065,0.000215655,0.00028666
1.75897e+09,0.00267918,-0.000740131,-0.00321912,0.999999,0.00106335,0.00073816,0.00098006
1.75897e+09,0.00247268,0.000548877,-0.00277798,0.999999,0.000805661,0.000423202,0.000608905
1.75897e+09,0.00210359,-0.000199659,-0.00401219,0.999999,0.000793176,0.000624681,0.000643313
1.75897e+09,0.00226341,5.17821e-05,-0.00396727,0.999999,0.00090444,0.000615466,0.000753104
1.75897e+09,0.0018466,-0.000977447,-0.00307317,0.999999,0.000540048,0.000585486,0.000819773
1.75897e+09,0.00214319,-0.000538325,-0.00296275,0.999999,0.000769068,0.000543911,0.000993618
1.75897e+09,0.00340991,-0.00152575,-0.00248674,1,0.000550611,0.000175641,0.000795909
1.75897e+09,0.00366664,-0.000285375,-0.00265415,0.999999,0.000846608,0.000286081,0.000702506
1.75897e+09,0.00315313,-0.00159018,-0.00369991,0.999999,0.000663299,0.000508098,0.000885816
1.75897e+09,0.00194792,-0.00026148,-0.00334647,0.999999,0.00110519,0.000482527,0.00100324
1.75897e+09,0.000401066,-0.00106171,-0.00356631,0.999999,0.000836522,0.000829315,0.000847541
1.75897e+09,0.00126031,-0.00104287,-0.00267752,0.999999,0.00111855,0.000618431,0.00102742
1.75897e+09,0.00141796,-0.00143467,-0.00326851,0.999999,0.000818242,0.000648625,0.000757834
1.75897e+09,0.00332194,-0.00163641,-0.00265583,0.999999,0.000702693,0.000517408,0.00112123
1.75897e+09,0.00409298,-0.00138902,-0.00301031,0.999999,0.00062123,0.000375419,0.000906853
1.75897e+09,0.00440137,-0.00223402,-0.00307395,0.999999,0.000755934,0.000438194,0.000716673
1.75897e+09,0.00420562,-0.000939997,-0.00409775,0.999999,0.00093795,0.000402743,0.000948497
1.75897e+09,0.00395586,-0.00189574,-0.0043659,0.999999,0.000960517,0.000558553,0.00100712
1.75897e+09,0.00415458,-0.000692868,-0.00335203,0.999999,0.000830648,0.000348958,0.000979501
1.75897e+09,0.00493914,-0.00225835,-0.00331352,0.999999,0.000645809,0.00057602,0.00121285
1.75897e+09,0.00455197,-0.00204066,-0.00332259,0.999999,0.000752537,0.000488996,0.000963283
1.75897e+09,0.00433239,-0.00205327,-0.00280459,0.999999,0.000807068,0.000272841,0.00109676
1.75897e+09,0.00374926,-0.00140054,-0.00307336,0.999999,0.000865906,0.00051717,0.000922633
1.75897e+09,0.00279266,-0.00176139,-0.0041349,0.999999,0.000872428,0.000616908,0.000818467
1.75897e+09,0.00330943,-0.00207282,-0.00466548,0.999999,0.000870263,0.000479117,0.00100641
1.75897e+09,0.00390334,-0.00326753,-0.00388354,0.999999,0.000722909,0.000632568,0.000996272
1.75897e+09,0.00277819,-0.00238674,-0.00468778,0.999999,0.000864296,0.000816375,0.00103603
1.75897e+09,0.00277981,-0.00312442,-0.00330951,0.999999,0.000715477,0.000418703,0.000754885
1.75897e+09,0.0031471,-0.00351727,-0.00237406,0.999999,0.000850443,0.000726698,0.000910194
1.75897e+09,0.00476913,-0.00304241,-0.00233298,0.999999,0.000615844,0.00025475,0.000944993
1.75897e+09,0.00520304,-0.00318782,-0.00251795,0.999999,0.000810833,0.000412632,0.000866457
1.75897e+09,0.00501824,-0.00381164,-0.00261441,0.999999,0.000617342,0.000269587,0.00110144
1.75897e+09,0.00424589,-0.00392816,-0.00238504,0.999999,0.000716167,0.000658581,0.00112391
1.75897e+09,0.00409154,-0.00297119,-0.00248834,0.999999,0.000550669,0.000278614,0.000914644
