x,y,z,r,p,y
0.0460463,-0.0227828,-0.0130488,176.976,-179.598,-179.858
0.0476476,-0.0231027,-0.013514,177.043,-179.743,-179.918
0.042636,-0.0216845,-0.011432,177.063,-179.662,-179.851
0.0437175,-0.0233201,-0.0131958,177.029,-179.642,-179.823
0.0460442,-0.0252035,-0.00619893,177.039,-179.656,-179.928
0.0493304,-0.0233815,-0.00817349,177.075,-179.674,-179.919
0.0482992,-0.0211572,-0.00697433,177.085,-179.614,-179.927
0.0457881,-0.021781,-0.010895,177.106,-179.483,-179.838
0.0432996,-0.0237137,-0.0119137,177.067,-179.655,-179.933
0.0438637,-0.022966,-0.0131031,177.116,-179.66,-179.87
0.0402029,-0.0243456,-0.0110931,177.017,-179.687,-179.873
0.0461698,-0.0267833,-0.0134442,177.117,-179.809,-179.819
0.0439441,-0.0239029,-0.0147149,177.044,-179.754,-179.827
0.0461232,-0.0239794,-0.0143138,177.13,-179.73,-179.846
0.0443007,-0.0207805,-0.0111332,177.089,-179.709,-179.816
0.0440997,-0.0183302,-0.00854218,177.117,-179.653,-179.902
0.0382536,-0.0161247,-0.0044109,176.963,-179.562,-179.895
0.0410635,-0.0192664,-0.00522682,177.093,-179.598,-179.847
0.0441786,-0.0213434,-0.00918673,177.122,-179.638,-179.845
0.0446866,-0.0215366,-0.00842841,177.049,-179.696,-179.886
0.0437395,-0.0205788,-0.00829497,177.022,-179.549,-179.938
0.0423156,-0.0233418,-0.006284,177.08,-179.634,-179.94
0.0362762,-0.026084,-0.00419947,176.943,-179.874,-179.982
0.03882,-0.0245673,-0.00516571,176.989,-179.748,179.979
0.0428961,-0.0249175,-0.00575585,176.983,-179.747,-179.937
0.038114,-0.026975,-0.010204,176.965,-179.585,-179.962
0.0403308,-0.0265934,-0.0128348,176.88,-179.684,-179.962
0.0367655,-0.0239409,-0.0142051,176.926,-179.726,-179.862
0.0421052,-0.0240581,-0.0100882,177.045,-179.803,-179.962
0.040889,-0.0228799,-0.00761816,177.031,-179.602,-179.929
0.0439454,-0.0228128,-0.00811947,176.984,-179.756,-179.874
0.0424664,-0.0204476,-0.010415,177.147,-179.785,-179.718
0.0492836,-0.0231677,-0.0110042,177.121,-179.662,-179.961
0.0462586,-0.0228678,-0.00811604,176.927,-179.526,-179.954
0.0455849,-0.0203095,-0.0112183,177.044,-179.592,-179.874
0.0450945,-0.0202929,-0.00961859,176.905,-179.651,-179.846
0.0424216,-0.020065,-0.00786896,176.988,-179.705,-179.967
0.0459444,-0.0232981,-0.0056809,177.027,-179.559,-179.931
0.0429594,-0.0266641,-0.00670868,177.008,-179.65,-179.948
0.0414328,-0.0253062,-0.00214355,177.037,-179.582,-179.88
0.0416252,-0.0268114,-0.00158445,177.14,-179.626,-179.916
0.0382196,-0.024958,-0.00501436,177.048,-179.661,-179.867
0.041302,-0.0241159,-0.0106071,177.03,-179.558,-179.881
0.0386125,-0.0220831,-0.0135581,177.043,-179.635,-179.914
0.0418372,-0.0257229,-0.0135037,177.067,-179.601,-179.862
0.041454,-0.0241107,-0.0149216,177.084,-179.6,-179.833
0.0423818,-0.0197621,-0.0126087,176.926,-179.628,-179.863
0.0422675,-0.0203911,-0.0137027,177.075,-179.754,-179.884
0.0463356,-0.022053,-0.0107952,177.078,-179.685,-179.881
0.0467054,-0.0251573,-0.0108132,177.024,-179.612,-179.863
0.0472454,-0.0238333,-0.0120587,177.035,-179.56,-179.849
0.0451075,-0.026945,-0.00966155,177.047,-179.55,-179.861
0.0452716,-0.0274381,-0.00942478,177.069,-179.469,-179.99
0.0427842,-0.0258018,-0.00934044,177.02,-179.67,-179.952
0.041088,-0.0232278,-0.011475,176.986,-179.565,-179.875
0.044079,-0.0226013,-0.013301,177.087,-179.751,-179.837
0.0445525,-0.0229509,-0.0125867,177.086,-179.571,-179.923
0.0405159,-0.0271911,-0.00734219,177.023,-179.636,-179.909
0.04045,-0.0290428,-0.0116797,177.038,-179.619,-179.904
0.0428402,-0.0265987,-0.0125645,177.047,-179.663,-179.791
0.0421262,-0.0263613,-0.0123061,177.054,-179.632,-179.833
0.0430124,-0.0225966,-0.0126179,177.128,-179.656,-179.808
0.0430369,-0.0201374,-0.0108401,177.03,-179.638,-179.826
0.0461902,-0.0232741,-0.0146703,177.04,-179.564,-179.818
0.0435862,-0.0227339,-0.0098933,176.992,-179.675,-179.869
0.0445465,-0.023918,-0.0119922,177.003,-179.695,-179.92
0.0444662,-0.0225429,-0.0123692,176.871,-179.52,-179.844
0.0478061,-0.0181189,-0.00992719,177.038,-179.669,-179.801
0.0458696,-0.0176504,-0.0184349,176.991,-179.599,-179.774
0.0415085,-0.0200453,-0.0118197,177.063,-179.465,-179.949
0.0400818,-0.0230088,-0.00953409,177.045,-179.673,-179.82
0.0439214,-0.0212781,-0.00874966,177.1,-179.6,-179.885
0.0455386,-0.0254733,-0.00688913,177.099,-179.642,-179.919
0.0442651,-0.0250211,-0.0110611,177.104,-179.525,-179.911
