x,y,z,r,p,y
0.0439098,-0.0224612,-0.0117461,177.063,-179.662,-179.851
0.0444547,-0.0234017,-0.0129661,177.03,-179.641,-179.823
0.0459529,-0.0250339,-0.00778506,177.039,-179.656,-179.929
0.0484315,-0.0237783,-0.00893726,177.078,-179.675,-179.918
0.0479844,-0.0221559,-0.00787887,177.084,-179.613,-179.928
0.0465013,-0.0222441,-0.0105012,177.105,-179.484,-179.837
0.0445588,-0.0236354,-0.0113137,177.066,-179.653,-179.932
0.0446803,-0.0231393,-0.0123672,177.112,-179.659,-179.866
0.0417908,-0.0242092,-0.0110061,177.015,-179.688,-179.872
0.0456467,-0.0259741,-0.0128606,177.114,-179.806,-179.818
0.0440716,-0.0240443,-0.014013,177.041,-179.751,-179.823
0.0455821,-0.024078,-0.0139353,177.127,-179.727,-179.844
0.0443072,-0.0217214,-0.0116919,177.087,-179.709,-179.814
0.0441709,-0.0197453,-0.00961782,177.115,-179.652,-179.9
0.03997,-0.0178926,-0.0061968,176.964,-179.564,-179.894
0.0416809,-0.0196769,-0.0062769,177.095,-179.596,-179.844
0.0439104,-0.0209915,-0.0089498,177.125,-179.635,-179.845
0.0443564,-0.0213034,-0.00845772,177.051,-179.694,-179.883
0.0438877,-0.0207779,-0.00829999,177.022,-179.55,-179.938
0.0428848,-0.0228914,-0.00672916,177.081,-179.635,-179.94
0.0381399,-0.025202,-0.00507931,176.948,-179.872,-179.979
0.0394028,-0.0245291,-0.00563185,176.992,-179.749,179.978
0.0421635,-0.0249333,-0.00597221,176.985,-179.747,-179.942
0.0390085,-0.0264763,-0.00916499,176.966,-179.586,-179.96
0.0403921,-0.0265073,-0.0113934,176.883,-179.683,-179.964
0.0376965,-0.0246414,-0.0127949,176.929,-179.725,-179.86
0.0411822,-0.0248057,-0.0101014,177.044,-179.799,-179.961
0.0405715,-0.0238756,-0.00821491,177.028,-179.601,-179.929
0.0428515,-0.0235916,-0.00851495,176.983,-179.752,-179.869
0.0419898,-0.021405,-0.010221,177.145,-179.781,-179.716
0.0471492,-0.0232349,-0.010687,177.119,-179.661,-179.956
0.0456357,-0.0232033,-0.00853354,176.924,-179.526,-179.952
0.0454748,-0.0212065,-0.0107669,177.041,-179.591,-179.873
0.0451891,-0.0210383,-0.00966622,176.902,-179.648,-179.847
0.0431705,-0.0208529,-0.00832711,176.988,-179.704,-179.965
0.0456916,-0.0231979,-0.00653982,177.026,-179.559,-179.931
0.0436555,-0.0257698,-0.00703468,177.007,-179.649,-179.947
0.0424453,-0.0251413,-0.0035382,177.039,-179.583,-179.877
0.042397,-0.0263063,-0.00275359,177.138,-179.628,-179.918
0.0397732,-0.0249742,-0.0050416,177.049,-179.66,-179.868
0.0417934,-0.0242783,-0.00919701,177.032,-179.559,-179.888
0.0397869,-0.0227944,-0.0117089,177.046,-179.634,-179.915
0.0419007,-0.0253294,-0.012111,177.067,-179.601,-179.86
0.0416881,-0.0242097,-0.0134649,177.086,-179.601,-179.835
0.0423245,-0.0211006,-0.0121574,176.926,-179.628,-179.864
0.0421973,-0.0212344,-0.0130963,177.073,-179.754,-179.879
0.0451631,-0.0223131,-0.0110666,177.075,-179.682,-179.878
0.045848,-0.0245214,-0.0109557,177.023,-179.611,-179.858
0.0465954,-0.0236932,-0.0118218,177.036,-179.562,-179.849
0.0453365,-0.0260704,-0.00999943,177.044,-179.549,-179.857
0.0456134,-0.0268181,-0.009615,177.066,-179.467,-179.985
0.043698,-0.0258571,-0.00943006,177.016,-179.669,-179.943
0.04235,-0.0239474,-0.011024,176.984,-179.566,-179.873
0.0441562,-0.0232406,-0.0125328,177.089,-179.749,-179.834
0.0445927,-0.0234232,-0.0121458,177.084,-179.57,-179.916
0.0416526,-0.026595,-0.00824502,177.021,-179.635,-179.904
0.041425,-0.0280759,-0.0112691,177.04,-179.616,-179.904
0.0429484,-0.0264502,-0.0120748,177.048,-179.662,-179.789
0.0424459,-0.0262924,-0.0119932,177.055,-179.631,-179.837
0.0430323,-0.0234583,-0.0123619,177.129,-179.654,-179.808
0.043064,-0.0214168,-0.0110954,177.031,-179.638,-179.827
0.0455573,-0.02329,-0.013899,177.043,-179.566,-179.817
0.0437835,-0.0230328,-0.0105362,176.995,-179.677,-179.873
0.0444584,-0.0238607,-0.0119534,177.003,-179.693,-179.921
0.0446351,-0.0229383,-0.0123187,176.871,-179.519,-179.845
0.0470168,-0.0196167,-0.0105587,177.039,-179.668,-179.801
0.0459684,-0.0186081,-0.0167462,176.989,-179.598,-179.769
0.0429111,-0.0204029,-0.0120683,177.063,-179.464,-179.948
0.0415015,-0.0224866,-0.0102586,177.043,-179.671,-179.817
0.0439857,-0.0213921,-0.00951791,177.099,-179.6,-179.881
0.0451887,-0.0245248,-0.00788636,177.097,-179.642,-179.916
0.0445507,-0.024375,-0.0107374,177.105,-179.523,-179.906
0.0457093,-0.0238622,-0.0103421,177.016,-179.571,-179.846
0.0457709,-0.0264655,-0.00961235,177.053,-179.615,-179.844
0.0478674,-0.0255071,-0.0102109,177.087,-179.65,-179.908
0.0452603,-0.0237857,-0.00888803,177.018,-179.518,-179.898
0.043528,-0.0219253,-0.00823512,176.989,-179.588,-179.977
0.0423233,-0.0211675,-0.00847104,176.926,-179.546,-179.846
0.0432569,-0.02027,-0.00558705,177.063,-179.721,-179.911
0.0439324,-0.0229191,-0.00651718,176.985,-179.604,-179.899
0.0452896,-0.0244268,-0.00564565,177.059,-179.583,-179.89
0.0449273,-0.0260913,-0.0048785,177.022,-179.686,-179.92
0.0426852,-0.0267891,-0.00733628,176.943,-179.621,-179.987
0.0404684,-0.0282015,-0.00862871,177.114,-179.633,-179.925
0.0408045,-0.0282171,-0.0105246,176.981,-179.762,-179.974
0.0386319,-0.027138,-0.00897626,177.008,-179.654,-179.866
0.0393457,-0.0231563,-0.00992606,177.061,-179.701,-179.976
0.0418825,-0.0213314,-0.0102645,177.1,-179.635,-179.83
0.0421065,-0.021256,-0.0085407,176.988,-179.605,-179.933
0.0460633,-0.018268,-0.00832755,177.021,-179.658,-179.946
0.0456636,-0.020016,-0.00744085,177.053,-179.602,179.981
0.0433504,-0.0202718,-0.0053664,176.985,-179.765,-179.856
0.0399351,-0.018307,-0.00816957,177.018,-179.688,-179.775
0.0394659,-0.0218762,-0.00882956,176.983,-179.744,-179.892
0.0403067,-0.0221467,-0.00878718,177.024,-179.738,-179.858
0.0455449,-0.0234737,-0.0132804,177.015,-179.553,-179.721
0.045225,-0.023796,-0.012451,176.944,-179.582,-179.82
0.0448183,-0.0254758,-0.0118353,176.959,-179.667,-179.898
0.041354,-0.0265411,-0.00853247,177.006,-179.634,-179.92
0.043503,-0.0282554,-0.00503101,176.983,-179.658,-179.98
0.0447464,-0.0274383,-0.00796698,177.015,-179.591,-179.891
0.0438228,-0.0246223,-0.00770043,176.977,-179.638,-179.964
0.0415214,-0.0233439,-0.00900203,176.992,-179.686,-179.826
0.0419864,-0.0215002,-0.0119158,176.967,-179.712,-179.873
0.041942,-0.0208203,-0.0119705,176.986,-179.525,-179.899
0.0418858,-0.0218962,-0.0128219,176.999,-179.698,-179.844
0.0423427,-0.0233549,-0.0130759,177.166,-179.654,-179.807
0.0456269,-0.0237907,-0.0120141,177.042,-179.61,-179.873
0.0428656,-0.0237083,-0.00893753,177.03,-179.663,-179.876
0.043883,-0.0251135,-0.00692359,177.07,-179.602,-179.847
0.0406091,-0.0252765,-0.00718222,176.953,-179.684,179.956
0.0431765,-0.0269919,-0.00888581,177.067,-179.692,-179.883
0.0436279,-0.0290515,-0.00659036,176.938,-179.613,-179.993
0.0472032,-0.0274827,-0.00806091,177.032,-179.583,-179.979
0.0474518,-0.0252756,-0.00886823,177.146,-179.653,-179.821
0.0489066,-0.0211528,-0.00925597,177.034,-179.744,-179.852
